1700243059.6113405,E,C
1700243068.3198698,E,B
1700243072.559194,E,E
1700243075.2568722,A,A
1700243076.711444,E,E
1700243079.8890166,B,B
1700243082.1418793,D,D
1700243083.4592857,B,B
1700243084.85352,D,D
1700243085.987998,A,A
1700243087.2266414,D,D
1700243088.6248696,B,B
1700243090.0692823,A,A
1700243091.4526825,D,D
1700243094.2741601,C,C
1700243095.6993752,B,B
1700243097.1004124,C,D
1700243098.2703118,C,C
1700243099.5323107,E,D
1700243100.6383197,E,E
1700243102.0480711,A,A
1700243106.4835155,B,B
1700243109.2995334,E,E
1700243110.603393,A,A
1700243113.3648102,C,C
1700243114.757059,E,E
1700243116.129076,C,C
